23.5,Bb2  (1,1)
23.5,Bb2  (0,2)
23.5,F3  (0,2)
23.5,G3  (0,2)
23.5,G0  (0,2)
23.5,G1  (0,2)
24,C3  (1,1)
24,C3  (0,2)
24,A3  (0,2)
24,A0  (0,2)
24,A1  (0,2)
24.25,C3  (1,1)
24.25,C3  (0,2)
24.25,F3  (0,2)
24.25,C4  (0,2)
24.5,D3  (1,1)
24.5,D3  (0,2)
24.5,A3  (0,2)
24.5,D4  (0,2)
24.5,F0  (0,2)
24.5,F1  (0,2)
24.75,Eb3  (1,1)
24.75,Eb3  (0,2)
24.75,A3  (0,2)
24.75,Eb4  (0,2)
24.75,Eb0  (0,2)
24.75,Eb1  (0,2)
25,F3  (1,1)
25,F3  (0,2)
25,F4  (0,2)
25,D0  (0,2)
25,D1  (0,2)
25.25,Bb2  (0,2)
25.25,D3  (0,2)
25.25,F3  (0,2)
25.25,Bb3  (0,2)
25.5,F3  (1,1)
25.5,C3  (0,2)
25.5,D3  (0,2)
25.5,F3  (0,2)
25.5,C4  (0,2)
25.75,D3  (0,2)
25.75,F3  (0,2)
25.75,D4  (0,2)
26,F3  (1,1)
26,D3  (0,2)
26,F3  (0,2)
26,C4  (0,2)
26,D0  (0,2)
26,D1  (0,2)
26.25,D3  (0,2)
26.25,F3  (0,2)
26.25,Bb3  (0,2)
26.5,D3  (0,2)
26.5,F3  (0,2)
26.5,C4  (0,2)
26.875,D3  (1,1)
26.875,D3  (0,2)
26.875,F3  (0,2)
26.875,A3  (0,2)
27,D3  (1,1)
27,G2  (0,2)
27,Bb2  (0,2)
27,Eb3  (0,2)
27,G3  (0,2)
27,C0  (0,2)
27,C1  (0,2)
27.25,G2  (0,2)
27.25,Bb2  (0,2)
27.25,Eb3  (0,2)
27.25,G3  (0,2)
27.5,A2  (0,2)
27.5,Bb2  (0,2)
27.5,Eb3  (0,2)
27.5,A3  (0,2)
27.75,Bb2  (0,2)
27.75,Eb3  (0,2)
27.75,G3  (0,2)
27.75,Bb3  (0,2)
28,A2  (0,2)
28,Eb3  (0,2)
28,A3  (0,2)
28.25,D3  (1,1)
28.25,G2  (0,2)
28.25,Eb3  (0,2)
28.25,G3  (0,2)
28.5,D3  (1,1)
28.5,Bb2  (0,2)
28.5,Eb3  (0,2)
28.5,Bb3  (0,2)
28.875,Bb2  (1,1)
28.875,G2  (0,2)
28.875,Eb3  (0,2)
28.875,G3  (0,2)
29,F2  (1,1)
29,Bb2  (0,2)
29,F3  (0,2)
29,F0  (0,2)
29,D1  (0,2)
29,F1  (0,2)
29.25,F2  (0,2)
29.25,D3  (0,2)
29.25,F3  (0,2)
29.5,Bb2  (0,2)
29.5,D3  (0,2)
29.5,Bb3  (0,2)
29.75,Bb2  (0,2)
29.75,D3  (0,2)
29.75,A3  (0,2)
30,F2  (1,1)
30,Bb2  (0,2)
30,D3  (0,2)
30,A3  (0,2)
30,F1  (0,2)
30,D2  (0,2)
30,F2  (0,2)
30.25,A2  (0,2)
30.25,A3  (0,2)
30.5,C3  (1,1)
30.5,A2  (0,2)
30.5,F3  (0,2)
30.5,F1  (0,2)
30.5,Eb2  (0,2)
30.875,A2  (1,1)
31,Bb2  (1,1)
31,Eb3  (0,2)
31,G3  (0,2)
31,Bb3  (0,2)
31.25,Bb1  (0,2)
31.5,G2  (0,2)
31.75,F3  (0,2)
32,G3  (0,2)
32.25,Bb2  (0,2)
32.5,F3  (0,2)
32.75,G3  (0,2)
33,Bb3  (0,2)
33.25,Bb2  (0,2)
33.5,Eb3  (0,2)
33.75,G3  (0,2)
34,Bb3  (0,2)
34.25,Bb2  (1,1)
34.5,Bb2  (1,1)
34.5,Ab2  (0,2)
34.5,D3  (0,2)
34.5,Gb3  (0,2)
34.5,Bb3  (0,2)
34.5,B0  (0,2)
34.5,Gb1  (0,2)
34.875,Ab2  (1,1)
35,G2  (1,1)
35,Bb2  (0,2)
35,Eb0  (0,2)
35,Eb1  (0,2)
35.25,G2  (1,1)
35.25,F2  (0,2)
35.5,G2  (1,1)
35.5,G2  (0,2)
35.75,Bb2  (1,1)
35.75,Bb2  (0,2)
36,D3  (1,1)
36,D3  (0,2)
36,Gb3  (0,2)
36,Ab3  (0,2)
36,Bb3  (0,2)
36,D4  (0,2)
36,Gb2  (0,2)
36.25,Gb1  (0,2)
36.25,B1  (0,2)
36.5,B0  (0,2)
36.5,Gb1  (0,2)
36.75,C3  (1,1)
36.75,Gb0  (0,2)
36.75,B0  (0,2)
37,Bb2  (1,1)
37,Bb2  (0,2)
37,Eb0  (0,2)
37,Eb1  (0,2)
37.25,F2  (0,2)
37.5,Bb2  (1,1)
37.5,G2  (0,2)
37.75,Bb2  (0,2)
38,G3  (0,2)
38.25,G2  (1,1)
38.5,Gb2  (1,1)
38.5,Ab2  (0,2)
38.5,D3  (0,2)
38.5,Gb3  (0,2)
38.5,B0  (0,2)
38.5,Gb1  (0,2)
38.75,C1  (0,2)
38.875,D2  (1,1)
39,Eb2  (1,1)
39,Bb2  (0,2)
39,Eb0  (0,2)
39,Eb1  (0,2)
39.25,F2  (0,2)
39.5,Eb2  (1,1)
39.5,G2  (0,2)
39.75,Bb2  (0,2)
40,F3  (0,2)
40.25,G3  (0,2)
40.5,Bb3  (0,2)
40.75,Eb4  (0,2)
41,F2  (0,2)
41,Bb0  (0,2)
41,F1  (0,2)
41.25,Bb2  (1,1)
41.25,Bb2  (0,2)
41.5,C3  (1,1)
41.5,C3  (0,2)
41.75,D3  (1,1)
41.75,D3  (0,2)
42,C3  (1,1)
42,C3  (0,2)
42.25,Bb2  (1,1)
42.25,Bb2  (0,2)
42.5,C3  (0,2)
42.5,F3  (0,2)
42.5,D1  (0,2)
42.5,Bb1  (0,2)
42.5,C3  (1,1)
42.875,A2  (0,2)
42.875,A2  (1,1)
43,G2  (0,2)
43,Bb2  (0,2)
43,Eb1  (0,2)
43,Bb1  (0,2)
43,G2  (1,1)
43.5,D1  (0,2)
43.5,Bb1  (0,2)
44,C1  (0,2)
44,Bb1  (0,2)
44.25,C3  (1,1)
44.25,C3  (0,2)
44.5,D3  (1,1)
44.5,D3  (0,2)
44.75,Eb3  (1,1)
44.75,Eb3  (0,2)
45,D3  (1,1)
45,D3  (0,2)
45.25,C3  (1,1)
45.25,C3  (0,2)
45.5,D3  (0,2)
45.5,G3  (0,2)
45.5,Eb0  (0,2)
45.5,Eb1  (0,2)
45.5,D3  (1,1)
45.875,Bb2  (0,2)
45.875,Bb2  (1,1)
46,A2  (0,2)
46,C3  (0,2)
46,F0  (0,2)
46,F1  (0,2)
46,A2  (1,1)
46.5,Bb2  (0,2)
46.5,F3  (0,2)
46.5,G3  (0,2)
46.5,G0  (0,2)
46.5,G1  (0,2)
46.5,Bb2  (1,1)
47,C3  (0,2)
47,A0  (0,2)
47,A1  (0,2)
47,C3  (1,1)
47.25,C3  (0,2)
47.25,F3  (0,2)
47.25,C4  (0,2)
47.25,C3  (1,1)
47.5,D3  (0,2)
47.5,A3  (0,2)
47.5,D4  (0,2)
47.5,F0  (0,2)
47.5,F1  (0,2)
47.5,D3  (1,1)
47.75,Eb3  (0,2)
47.75,A3  (0,2)
47.75,Eb4  (0,2)
47.75,Eb0  (0,2)
47.75,Eb1  (0,2)
47.75,Eb3  (1,1)
48,F3  (0,2)
48,F4  (0,2)
48,D0  (0,2)
48,D1  (0,2)
48,F3  (1,1)
48.25,Bb2  (0,2)
48.25,D3  (0,2)
48.25,F3  (0,2)
48.25,Bb3  (0,2)
48.5,C3  (0,2)
48.5,D3  (0,2)
48.5,F3  (0,2)
48.5,C4  (0,2)
48.5,F3  (1,1)
48.75,D3  (0,2)
48.75,F3  (0,2)
48.75,D4  (0,2)
49,D3  (0,2)
49,F3  (0,2)
49,C4  (0,2)
49,D0  (0,2)
49,D1  (0,2)
49,F3  (1,1)
49.25,D3  (0,2)
49.25,F3  (0,2)
49.25,Bb3  (0,2)
49.25,F3  (1,1)
49.5,D3  (0,2)
49.5,F3  (0,2)
49.5,C4  (0,2)
49.5,F3  (1,1)
49.875,D3  (0,2)
49.875,F3  (0,2)
49.875,A3  (0,2)
49.875,D3  (1,1)
50,G2  (0,2)
50,Bb2  (0,2)
50,Eb3  (0,2)
50,G3  (0,2)
50,C0  (0,2)
50,C1  (0,2)
50,D3  (1,1)
50.25,G2  (0,2)
50.25,Bb2  (0,2)
50.25,Eb3  (0,2)
50.25,G3  (0,2)
50.5,A2  (0,2)
50.5,Bb2  (0,2)
50.5,Eb3  (0,2)
50.5,A3  (0,2)
50.5,D3  (1,1)
50.75,Bb2  (0,2)
50.75,Eb3  (0,2)
50.75,G3  (0,2)
50.75,Bb3  (0,2)
51,A2  (0,2)
51,Eb3  (0,2)
51,A3  (0,2)
51,D3  (1,1)
51.25,G2  (0,2)
51.25,Eb3  (0,2)
51.25,G3  (0,2)
51.25,D3  (1,1)
51.5,Bb2  (0,2)
51.5,Eb3  (0,2)
51.5,Bb3  (0,2)
51.5,D3  (1,1)
51.875,G2  (0,2)
51.875,Eb3  (0,2)
51.875,G3  (0,2)
51.875,Bb2  (1,1)
52,Bb2  (0,2)
52,F3  (0,2)
52,F0  (0,2)
52,D1  (0,2)
52,F1  (0,2)
52,F2  (1,1)
52.25,F2  (0,2)
52.25,D3  (0,2)
52.25,F3  (0,2)
52.5,Bb2  (0,2)
52.5,D3  (0,2)
52.5,Bb3  (0,2)
52.5,F2  (1,1)
52.75,Bb2  (0,2)
52.75,D3  (0,2)
52.75,A3  (0,2)
52.75,F2  (1,1)
53,Bb2  (0,2)
53,D3  (0,2)
53,A3  (0,2)
53,F1  (0,2)
53,D2  (0,2)
53,F2  (0,2)
53,F2  (1,1)
53.25,A2  (0,2)
53.25,A3  (0,2)
53.25,F2  (1,1)
53.5,F2  (0,2)
53.5,A2  (0,2)
53.5,F3  (0,2)
53.5,F1  (0,2)
53.5,Eb2  (0,2)
53.5,C3  (1,1)
53.875,A2  (1,1)
54,Eb1  (0,2)
54,Eb2  (0,2)
54,Bb2  (1,1)
54.25,G2  (0,2)
54.5,G2  (0,2)
54.5,Bb2  (0,2)
54.75,Bb2  (0,2)
54.75,Eb3  (0,2)
55,Eb3  (0,2)
55,G3  (0,2)
55.25,G2  (0,2)
55.25,Bb2  (0,2)
55.5,Bb2  (0,2)
55.5,Eb3  (0,2)
55.5,G2  (1,1)
55.75,Eb3  (0,2)
55.75,G3  (0,2)
55.875,Bb2  (1,1)
56,G3  (0,2)
56,Bb3  (0,2)
56,Eb1  (0,2)
56,Eb2  (0,2)
56,Eb3  (1,1)
56.25,Bb2  (0,2)
56.25,Eb3  (0,2)
56.5,Eb3  (0,2)
56.5,G3  (0,2)
56.75,G3  (0,2)
56.75,Bb3  (0,2)
57,Bb3  (0,2)
57,Eb4  (0,2)
57.5,Bb2  (1,1)
58,Eb4  (0,2)
58,G4  (0,2)
58,Bb4  (0,2)
58,Eb0  (0,2)
58,Eb1  (0,2)
58,G3  (1,1)
59.875,F3  (1,1)
60,F3  (0,2)
60,F4  (0,2)
60,Bb0  (0,2)
60,Bb1  (0,2)
60,F3  (1,1)
60.25,Bb3  (0,2)
60.25,D4  (0,2)
60.25,F4  (0,2)
60.25,Bb4  (0,2)
60.5,C4  (0,2)
60.5,D4  (0,2)
60.5,F4  (0,2)
60.5,C5  (0,2)
60.75,D4  (0,2)
60.75,F4  (0,2)
60.75,D5  (0,2)
61,C4  (0,2)
61,D4  (0,2)
61,F4  (0,2)
61,C5  (0,2)
61.25,Bb3  (0,2)
61.25,D4  (0,2)
61.25,F4  (0,2)
61.25,Bb4  (0,2)
61.5,C4  (0,2)
61.5,D4  (0,2)
61.5,F4  (0,2)
61.5,C5  (0,2)
61.5,D1  (0,2)
61.5,D2  (0,2)
61.875,A3  (0,2)
61.875,D4  (0,2)
61.875,F4  (0,2)
61.875,A4  (0,2)
62,G3  (0,2)
62,Bb3  (0,2)
62,F4  (0,2)
62,G4  (0,2)
62,Eb1  (0,2)
62,Eb2  (0,2)
62.5,D1  (0,2)
62.5,D2  (0,2)
63,C1  (0,2)
63,C2  (0,2)
63.25,C4  (0,2)
63.25,Eb4  (0,2)
63.25,G4  (0,2)
63.25,C5  (0,2)
63.5,D4  (0,2)
63.5,D5  (0,2)
63.75,Eb4  (0,2)
63.75,Eb5  (0,2)
64,D4  (0,2)
64,D5  (0,2)
64.25,C4  (0,2)
64.25,C5  (0,2)
64.5,D4  (0,2)
64.5,F4  (0,2)
64.5,D5  (0,2)
64.5,Eb1  (0,2)
64.5,Eb2  (0,2)
64.875,Bb3  (0,2)
64.875,Bb4  (0,2)
65,A3  (0,2)
65,F4  (0,2)
65,A4  (0,2)
65,F1  (0,2)
65,F2  (0,2)
65.5,C4  (0,2)
65.5,Eb4  (0,2)
65.5,Bb4  (0,2)
65.5,G1  (0,2)
65.5,G2  (0,2)
66,C4  (0,2)
66,F4  (0,2)
66,C5  (0,2)
66,A1  (0,2)
66,A2  (0,2)
66.5,D4  (0,2)
66.5,A4  (0,2)
66.5,D5  (0,2)
66.5,F1  (0,2)
66.5,F2  (0,2)
66.75,Eb4  (0,2)
66.75,Bb4  (0,2)
66.75,Eb5  (0,2)
66.75,Eb1  (0,2)
66.75,Eb2  (0,2)
67,F4  (0,2)
67,Bb4  (0,2)
67,D5  (0,2)
67,F5  (0,2)
67,Bb0  (0,2)
67,D2  (0,2)
